feature,mean_YES,mean_NO,n_YES,n_NO,U_stat,p_value,effect_r,effect_label,p_adj_BH,significant,modality
EXG_Channel_2_Alpha_power,0.0031356791641057244,0.05496571952337304,3254,2182,3424926.5,0.02730129740340521,0.0352629521192841,small,0.43682075845448337,False,EEG
EXG_Channel_4_Gamma_power,-0.05473506453595576,-0.006826031164069682,3254,2182,3422263.0,0.0241872781161434,0.03601320971664568,small,0.43682075845448337,False,EEG
EXG_Channel_4_Alpha_power,-0.03139283958205286,0.024397250229147575,3254,2182,3407927.0,0.012179491380263826,0.04005138989902857,small,0.43682075845448337,False,EEG
EXG_Channel_9_Beta_power,0.07759711124769514,0.12531741521539874,3254,2182,3421176.0,0.023008419670425988,0.03631939706724907,small,0.43682075845448337,False,EEG
EXG_Channel_5_Beta_power,-0.18279308543331285,-0.22077186067827678,3254,2182,3642495.5,0.10334971259210776,-0.026022122106501344,small,0.5167485629605387,False,EEG
EXG_Channel_5_Gamma_power,-0.29414336201598035,-0.3354089367552704,3254,2182,3650093.0,0.07793714155764937,-0.028162194228128934,small,0.5167485629605387,False,EEG
EXG_Channel_0_Beta_power,-0.06729772587584508,-0.018554262144821237,3254,2182,3456822.0,0.09999782461471927,0.026278592743782303,small,0.5167485629605387,False,EEG
EXG_Channel_6_Gamma_power,-0.11353948985863552,-0.07638166819431717,3254,2182,3442358.0,0.05745212524066369,0.030352828106365082,small,0.5167485629605387,False,EEG
EXG_Channel_9_Gamma_power,-0.01766690227412415,0.012943675527039412,3254,2182,3451060.5,0.08074117746617246,0.027901498374418354,small,0.5167485629605387,False,EEG
EXG_Channel_9_Delta_power,0.10840187461585742,0.11027286892758936,3254,2182,3452936.5,0.0866525899572161,0.02737306463961442,small,0.5167485629605387,False,EEG
EXG_Channel_8_Alpha_power,0.20375685310387218,0.22654317140238314,3254,2182,3448726.0,0.07384768194931826,0.028559082891422616,small,0.5167485629605387,False,EEG
EXG_Channel_6_Alpha_power,0.008850983405039956,0.012989917506874425,3254,2182,3453889.5,0.08978341855591612,0.02710462255578272,small,0.5167485629605387,False,EEG
EXG_Channel_7_Alpha_power,-0.03320682237246468,-0.010281805682859777,3254,2182,3441652.5,0.05583976575010128,0.03055155411910715,small,0.5167485629605387,False,EEG
EXG_Channel_15_Alpha_power,-0.2556036570374923,-0.18274981668194318,3254,2182,3442373.5,0.05745249130192991,0.03034846204938768,small,0.5167485629605387,False,EEG
EXG_Channel_13_Alpha_power,-0.010531991395205888,-0.01850527039413381,3254,2182,3457113.5,0.10107105692537163,0.026196482704499036,small,0.5167485629605387,False,EEG
EXG_Channel_9_Theta_power,0.1534756914566687,0.1656348304307974,3254,2182,3461115.0,0.11661737786845867,0.02506933580161086,small,0.5224522943951383,False,EEG
EXG_Channel_5_Alpha_power,-0.15141484326982171,-0.19179454628780934,3254,2182,3637926.5,0.12155778076422753,-0.024735121182023923,small,0.5224522943951383,False,EEG
EXG_Channel_4_Theta_power,0.040745912722802695,0.08351182401466545,3254,2182,3462889.0,0.12408241991884533,0.02456963353852859,small,0.5224522943951383,False,EEG
EXG_Channel_12_Delta_power,0.17976637984019667,0.14927406049495875,3254,2182,3633991.5,0.13918436800974768,-0.023626706071973924,small,0.5567374720389907,False,EEG
EXG_Channel_0_Gamma_power,-0.16963484941610327,-0.13383785517873512,3254,2182,3467853.5,0.14695736971326098,0.02317122774085567,small,0.5598375989076608,False,EEG
EXG_Channel_11_Alpha_power,-0.17105402581438228,-0.15925834097158573,3254,2182,3470866.5,0.16233119944089835,0.02232252260068268,small,0.5902952706941758,False,EEG
EXG_Channel_5_Theta_power,-0.0437109403810695,-0.09904037580201651,3254,2182,3627886.0,0.17030087936347615,-0.02190690214455082,small,0.5923508847425258,False,EEG
EXG_Channel_12_Theta_power,0.1704954824830977,0.14941714023831346,3254,2182,3621954.0,0.20529764095492975,-0.02023596988716414,small,0.6734758428471637,False,EEG
EXG_Channel_1_Gamma_power,-0.07049492931776276,-0.020874747937671845,3254,2182,3479088.0,0.21046120088973863,0.020006681475580823,small,0.6734758428471637,False,EEG
EXG_Channel_15_Theta_power,-0.19952185003073142,-0.14318730522456463,3254,2182,3480665.5,0.22071708834959836,0.019562329547727186,small,0.6791295026141487,False,EEG
EXG_Channel_8_Theta_power,0.24272246465888137,0.2634425297891842,3254,2182,3484093.5,0.24442634189320211,0.01859672675300006,small,0.7242261982020803,False,EEG
EXG_Channel_8_Gamma_power,-0.07570860479409956,-0.05697415215398717,3254,2182,3487557.5,0.27006173447753345,0.017620983438841664,small,0.7693762511465115,False,EEG
EXG_Channel_15_Gamma_power,-0.15235036877688998,-0.11578079743354718,3254,2182,3488844.0,0.27996062634837926,0.017258600709723737,small,0.7693762511465115,False,EEG
EXG_Channel_1_Beta_power,-0.07155061462815002,-0.02998363886342807,3254,2182,3489916.0,0.28851609417994184,0.016956638575549965,small,0.7693762511465115,False,EEG
EXG_Channel_8_Beta_power,0.07201748617086662,0.094425664527956,3254,2182,3492460.5,0.3094027176737273,0.016239901028530346,small,0.79845862625478,False,EEG
EXG_Channel_10_Gamma_power,-0.1259920405654579,-0.10691709440879926,3254,2182,3493908.5,0.3215585679646086,0.015832026802519605,small,0.8038964199115214,False,EEG
EXG_Channel_8_Delta_power,0.22746481253841425,0.2301391842346471,3254,2182,3508125.0,0.4591201123768903,0.011827507511026458,small,0.8045317895730356,False,EEG
EXG_Channel_12_Beta_power,0.026816226183159184,0.00642121906507791,3254,2182,3594822.5,0.4305524750131804,-0.012593539249725394,small,0.8045317895730356,False,EEG
EXG_Channel_11_Beta_power,-0.0411959741856177,-0.038220485792850596,3254,2182,3502411.0,0.40030006937948437,0.013437033289635192,small,0.8045317895730356,False,EEG
EXG_Channel_10_Theta_power,-0.2745581438229871,-0.30283519706691114,3254,2182,3590634.5,0.4748367708812594,-0.011413858822561851,small,0.8045317895730356,False,EEG
EXG_Channel_10_Beta_power,-0.178359680393362,-0.16681966086159483,3254,2182,3509851.5,0.47765377222504524,0.011341185099971396,small,0.8045317895730356,False,EEG
EXG_Channel_7_Gamma_power,-0.038081499692685934,-0.009714390467461052,3254,2182,3497874.5,0.35703498227779873,0.014714879578514917,small,0.8045317895730356,False,EEG
EXG_Channel_15_Delta_power,-0.15338239090350336,-0.11882791017415212,3254,2182,3507430.0,0.45165001600667243,0.012023275872267813,small,0.8045317895730356,False,EEG
EXG_Channel_14_Beta_power,-0.2619285187461586,-0.2644176443629698,3254,2182,3594900.5,0.4296641992375493,-0.012615510375159733,small,0.8045317895730356,False,EEG
EXG_Channel_13_Beta_power,0.044877934849416094,0.021871769019248404,3254,2182,3510749.0,0.4876600879473775,0.011088376316929494,small,0.8045317895730356,False,EEG
EXG_Channel_14_Delta_power,-0.2495784880147511,-0.2563007791017415,3254,2182,3589010.5,0.49277572111348433,-0.010956408723776123,small,0.8045317895730356,False,EEG
EXG_Channel_13_Delta_power,0.16855743700061462,0.07902236480293305,3254,2182,3600322.5,0.37603972946036557,-0.014142785273937752,small,0.8045317895730356,False,EEG
EXG_Channel_14_Alpha_power,-0.36427827289489856,-0.3265091659028414,3254,2182,3496620.5,0.3455235937929996,0.015068107672035369,small,0.8045317895730356,False,EEG
EXG_Channel_3_Alpha_power,-0.039306146281499685,0.008168744271310726,3254,2182,3501208.5,0.3885401623226211,0.013775754806747087,small,0.8045317895730356,False,EEG
EXG_Channel_0_Alpha_power,-0.02870636140135217,0.004919706691109077,3254,2182,3495400.5,0.3347105980314006,0.015411758608315118,small,0.8045317895730356,False,EEG
EXG_Channel_3_Gamma_power,-0.1392537492317148,-0.14192387717690194,3254,2182,3594519.0,0.43367569799498684,-0.01250804903729863,small,0.8045317895730356,False,EEG
EXG_Channel_12_Alpha_power,0.11641143208358942,0.10385458295142072,3254,2182,3592999.5,0.44958600307607355,-0.012080034612973023,small,0.8045317895730356,False,EEG
EXG_Channel_15_Beta_power,-0.16857138905961896,-0.13021613198900092,3254,2182,3503114.5,0.40723732155214387,0.013238870639083689,small,0.8045317895730356,False,EEG
EXG_Channel_0_Delta_power,-0.09779840196681008,-0.07508033913840513,3254,2182,3515042.0,0.536337714041576,0.00987911937475816,small,0.8251349446793478,False,EEG
EXG_Channel_2_Delta_power,0.10462298709280883,0.12318162236480291,3254,2182,3514732.5,0.5327554164579201,0.009966299673756951,small,0.8251349446793478,False,EEG
EXG_Channel_11_Theta_power,-0.07796149354640443,-0.0848428505957837,3254,2182,3513767.5,0.5216211175218323,0.010238121930732369,small,0.8251349446793478,False,EEG
EXG_Channel_12_Gamma_power,0.022930977258758454,0.015645875343721354,3254,2182,3582402.0,0.5691791601572344,-0.0090949192054115,small,0.8278969602287045,False,EEG
EXG_Channel_11_Gamma_power,-0.015513398893669338,-0.01418748854262145,3254,2182,3517319.0,0.5631094464205748,0.00923773152073426,small,0.8278969602287045,False,EEG
EXG_Channel_0_Theta_power,-0.07848251382913335,-0.05320311640696607,3254,2182,3517018.5,0.5595484991727002,0.009322376689875345,small,0.8278969602287045,False,EEG
EXG_Channel_14_Gamma_power,-0.250149815611555,-0.23189459211732355,3254,2182,3521335.0,0.6118134646922431,0.00810650024196402,small,0.8440737652033821,False,EEG
EXG_Channel_2_Gamma_power,-0.12305550092194224,-0.10987021081576535,3254,2182,3519640.0,0.5910737043930411,0.008583949698516724,small,0.8440737652033821,False,EEG
EXG_Channel_11_Delta_power,-0.1104706207744315,-0.13270045829514207,3254,2182,3521342.5,0.611953479772452,0.00810438763374921,small,0.8440737652033821,False,EEG
EXG_Channel_7_Theta_power,0.04472538414259376,0.030390054995417054,3254,2182,3531980.0,0.7491858382170493,0.0051080049823751805,small,0.8441530571459711,False,EEG
EXG_Channel_4_Delta_power,0.0312419483712354,0.03134908340971587,3254,2182,3574574.0,0.6662886036416,-0.006889919591314575,small,0.8441530571459711,False,EEG
EXG_Channel_2_Beta_power,-0.029169483712354016,-0.012246929422548111,3254,2182,3529516.5,0.7164947654867259,0.00580192636067467,small,0.8441530571459711,False,EEG
EXG_Channel_6_Theta_power,0.06999708051628767,0.05855779101741524,3254,2182,3524592.5,0.6527356473112437,0.007188924073987524,small,0.8441530571459711,False,EEG
EXG_Channel_1_Delta_power,-0.028572987092808845,-0.010794087992667284,3254,2182,3530908.0,0.7348922000852012,0.005409967116548953,small,0.8441530571459711,False,EEG
EXG_Channel_1_Alpha_power,0.00811613398893669,0.027348579285059592,3254,2182,3531234.5,0.739233677170488,0.005317998238929755,small,0.8441530571459711,False,EEG
EXG_Channel_10_Delta_power,-0.3697085125998771,-0.39495861594867093,3254,2182,3576580.0,0.640672317793374,-0.007454971868509075,small,0.8441530571459711,False,EEG
EXG_Channel_10_Alpha_power,-0.2514810387215734,-0.24985201649862507,3254,2182,3529190.5,0.7121212031860367,0.005893754397746087,small,0.8441530571459711,False,EEG
EXG_Channel_6_Beta_power,0.15346662569145667,0.12938065994500458,3254,2182,3568684.5,0.7433572283660179,-0.005230958780478634,small,0.8441530571459711,False,EEG
EXG_Channel_7_Delta_power,0.19778841425937313,0.1641692942254812,3254,2182,3574886.0,0.662294037347515,-0.006977804093051709,small,0.8441530571459711,False,EEG
EXG_Channel_7_Beta_power,0.13856195451751693,0.14178354720439965,3254,2182,3525829.0,0.6685333066866503,0.006840625399635036,small,0.8441530571459711,False,EEG
EXG_Channel_13_Theta_power,0.09332744314689613,0.05059903758020164,3254,2182,3529328.0,0.7140151433774578,0.0058550232471408226,small,0.8441530571459711,False,EEG
EXG_Channel_13_Gamma_power,-0.03853653964351567,-0.050103483043079745,3254,2182,3530880.5,0.7345368231835626,0.005417713346669961,small,0.8441530571459711,False,EEG
EXG_Channel_14_Theta_power,-0.3628358635525507,-0.3412632905591201,3254,2182,3533726.5,0.7726027778417853,0.004616048949414031,small,0.858447530935317,False,EEG
EXG_Channel_2_Theta_power,0.11384689612784263,0.13381274060494958,3254,2182,3534913.0,0.788698350734845,0.0042818343298272055,small,0.8643269597094192,False,EEG
EXG_Channel_3_Beta_power,-0.05448481868469575,-0.03642937671860677,3254,2182,3562350.5,0.829191304586685,-0.0034467907227768713,small,0.8964230319856054,False,EEG
EXG_Channel_4_Beta_power,0.025389920098340506,0.028718606782768094,3254,2182,3538816.0,0.8421164360903326,0.003182433014827124,small,0.8982575318296881,False,EEG
EXG_Channel_5_Delta_power,0.08359944683466507,0.059614390467461045,3254,2182,3540967.5,0.8718895699063518,0.0025763961382648803,small,0.9177784946382651,False,EEG
EXG_Channel_3_Delta_power,0.09217919483712354,0.07836567369385881,3254,2182,3555394.0,0.9258356993252504,-0.0014872761832436243,small,0.9619072200781823,False,EEG
EXG_Channel_6_Delta_power,0.13777756607252614,0.10857043996333639,3254,2182,3554280.5,0.9414468812850791,-0.0011736242836144495,small,0.9655865449077735,False,EEG
EXG_Channel_1_Theta_power,-0.02810052243392748,-0.02270967002749771,3254,2182,3553367.0,0.954268771680306,-0.0009163086030476997,small,0.966348123220563,False,EEG
EXG_Channel_3_Theta_power,0.11157489244007376,0.11218194317140237,3254,2182,3552497.0,0.9664931096574939,-0.0006712460501268058,small,0.9664931096574939,False,EEG
